iteration,gini coefficient
0,0.7944973736020716
100,0.796448532419731
200,0.7982651891813173
300,0.7999782871318979
400,0.8015560988471028
500,0.8030317887019673
600,0.8044524363112271
700,0.8057735760611727
800,0.8069888556824976
900,0.8081455393041638
1000,0.8090943012760057
1100,0.8100698867239269
1200,0.8108407927586624
1300,0.8116534690331646
1400,0.8123380301054866
1500,0.8128767882338744
1600,0.813843389922296
1700,0.8147443644640286
1800,0.81559909027364
1900,0.8163752960955
2000,0.8171097604416562
2100,0.8177954860851312
2200,0.8184083645845129
2300,0.8189318185004679
2400,0.8194407630081975
2500,0.8198904031132352
2600,0.8202945770217909
2700,0.8206242191061324
2800,0.82094371217974
2900,0.8212395773770447
3000,0.8214770931804942
3100,0.8216639763485406
3200,0.8218156454106388
3300,0.8219608576994738
3400,0.8220540807237637
3500,0.8221209403362463
3600,0.8221546151718825
3700,0.8221562504334599
3800,0.8221878246738606
3900,0.8222529464160516
4000,0.8224152278840766
4100,0.8225389762014281
4200,0.8224959584309144
4300,0.8223868485930313
4400,0.8222365467059453
4500,0.8220741758452853
4600,0.8218732778028944
4700,0.8216337999615889
4800,0.8213652000893744
4900,0.8210755566735978
5000,0.8207876484304616
5100,0.8204916816924435
5200,0.8203287805653584
5300,0.8201346193562974
5400,0.8199089405559954
5500,0.819638893584991
5600,0.8193050887081876
5700,0.8189475060782813
5800,0.8185631989628686
5900,0.818145168398059
6000,0.8177161688922272
6100,0.8172377580423621
6200,0.8167453417498429
6300,0.8162399887541074
6400,0.8156885102715303
6500,0.8151555852996056
6600,0.8145616156697462
6700,0.8140735015863537
6800,0.8136361809755626
6900,0.8131485177727452
7000,0.8126201035644813
7100,0.8121079912813869
7200,0.8115169826739475
7300,0.8109168491087038
7400,0.8102631944912779
7500,0.8095788288801662
7600,0.8089163514551078
7700,0.8082247781056767
7800,0.807655812445618
7900,0.8071625414844648
8000,0.806673231928814
8100,0.8062231284471135
8200,0.805745316766968
8300,0.8053187441200808
8400,0.8048631141755611
8500,0.8043832896492606
8600,0.8039236923800639
8700,0.803539875873825
8800,0.8031648235117549
8900,0.8027855926770658
9000,0.8023687799078999
9100,0.8019883510901556
9200,0.8015693406042048
9300,0.8011987371158797
9400,0.8008205560597266
9500,0.8004129186125
9600,0.8000663997908172
9700,0.7996786654526049
9800,0.7993161852908219
9900,0.7989633519817609
10000,0.7985817926909913
