iteration,gini coefficient
0,0.7947502897694482
100,0.7949359779863009
200,0.7950729122692812
300,0.7951973901710593
400,0.795330438621508
500,0.7954953375129201
600,0.7956400046213595
700,0.795712583059279
800,0.7958863287231095
900,0.7959751261651316
1000,0.7960985112499722
1100,0.7961958456645652
1200,0.7963189470475567
1300,0.7964398073039963
1400,0.7966122299195746
1500,0.7967210393858114
1600,0.79684977103996
1700,0.7969874009905956
1800,0.7971263888445371
1900,0.7971471217636251
2000,0.7972525749918565
2100,0.7973698598276028
2200,0.7974949226253739
2300,0.7975831077408023
2400,0.7976490905535945
2500,0.7977415896396375
2600,0.7978764041369746
2700,0.7979815095721513
2800,0.798097628454949
2900,0.7982085677317037
3000,0.7982912268263774
3100,0.7983039463272574
3200,0.7983880046209536
3300,0.7984820460959573
3400,0.7985236594808531
3500,0.7986272730140498
3600,0.7987097728980054
3700,0.7987852738886937
3800,0.7988785384426469
3900,0.7989572993894009
4000,0.7989911251953506
4100,0.798995300896524
4200,0.7989974292226826
4300,0.7990627539599704
4400,0.7991708150468837
4500,0.7992397696575899
4600,0.7993212922085576
4700,0.7993985072424629
4800,0.7995070418158966
4900,0.7995974116280844
5000,0.7996757200750008
5100,0.799723586329826
5200,0.7998038794225883
5300,0.7998647932818268
5400,0.7998825101213963
5500,0.7999691211067239
5600,0.8000794438082705
5700,0.8001614998543755
5800,0.800253314780678
5900,0.8003260917412063
6000,0.800396585488516
6100,0.8005329591775033
6200,0.8006219193461496
6300,0.8006961018206927
6400,0.8007812264689048
6500,0.8008616218734196
6600,0.8008829938443749
6700,0.800963065872941
6800,0.8009561153794493
6900,0.801002775324844
7000,0.8010450351073284
7100,0.801108876346989
7200,0.8011858633531543
7300,0.8012567382204248
7400,0.8013315366982613
7500,0.8013291632051182
7600,0.8013909682656237
7700,0.8014648445858255
7800,0.8015180844243408
7900,0.8015588152119095
8000,0.8016225539420496
8100,0.8016970938138287
8200,0.8017638505765698
8300,0.8018613197248853
8400,0.8019034930718876
8500,0.801955421813761
8600,0.8019869794251877
8700,0.8020414038365032
8800,0.8021183662653304
8900,0.8021615368544683
9000,0.8022416270704824
9100,0.8023139744472568
9200,0.8023693402782441
9300,0.802411017360095
9400,0.8024821562980528
9500,0.8025444684994408
9600,0.8026048251253945
9700,0.8026975322658693
9800,0.8027080522615418
9900,0.8026976190678885
10000,0.8027380551221129
