iteration,gini coefficient
0,0.05649212389188589
100,0.06050418751457227
200,0.06490668781666498
300,0.0695427558740117
400,0.07339426530915097
500,0.07783163889158709
600,0.08196098732199199
700,0.08501574621679558
800,0.08811739599435199
900,0.09075027307022472
1000,0.0927597735406463
1100,0.09460564643478009
1200,0.09605493301075482
1300,0.09691424397602126
1400,0.09749950603090593
1500,0.09781743759708711
1600,0.09791643987354237
1700,0.09776257312632179
1800,0.09723213385011062
1900,0.09610512066041658
2000,0.09491138683753772
2100,0.09313455382459505
2200,0.09097788964185086
2300,0.08850297798804208
2400,0.08581579040327134
2500,0.08296429538716785
2600,0.07957303608155906
2700,0.07567716346724992
2800,0.07373070592039122
2900,0.07531322256169216
3000,0.07639151706925362
3100,0.07745579367642783
3200,0.07820910234532527
3300,0.0785465724182314
3400,0.07850984787024017
3500,0.07825534746413078
3600,0.07748682236800715
3700,0.07642843854478786
3800,0.07495218181785238
3900,0.07343839238703492
4000,0.0713476232743004
4100,0.06902132260486227
4200,0.06651265743653893
4300,0.06363193423510333
4400,0.06113796534894355
4500,0.0583457378921047
4600,0.06014305178829319
4700,0.06242615849112321
4800,0.06427989691109862
4900,0.06597626468725583
5000,0.06752555431063888
5100,0.06856353695074191
5200,0.06925281221088629
5300,0.06958484030909472
5400,0.06959602966903328
5500,0.06923268128231093
5600,0.0686288781118132
5700,0.06784883730795527
5800,0.06655132651242814
5900,0.06501143350696535
6000,0.06311735860436593
6100,0.06099775202689472
6200,0.05861928398311152
6300,0.0558999470020711
6400,0.05332374406289848
6500,0.052238378518380625
6600,0.0544653600965374
6700,0.05653165478339354
6800,0.05809463976450317
6900,0.05936276116467868
7000,0.060475916317080367
7100,0.06129812707040182
7200,0.06195576947992925
7300,0.06211003227964574
7400,0.06200323238427165
7500,0.061655486946003986
7600,0.060940522739430646
7700,0.06003591792317348
7800,0.05883079208394198
7900,0.05729653306469001
8000,0.055549504109863854
8100,0.05338040959775009
8200,0.05088311340699888
8300,0.048005090920432786
8400,0.04518503779355697
8500,0.04678133650556972
8600,0.04880394422893393
8700,0.050619269962052134
8800,0.05226776835880516
8900,0.05344242475736144
9000,0.05434396869796449
9100,0.055061316555245245
9200,0.05550608126664453
9300,0.0555925369971613
9400,0.05531871485772426
9500,0.05482950847893418
9600,0.05409002262280453
9700,0.05300501568484454
9800,0.05208603804953207
9900,0.05042937337132668
