iteration,gini coefficient
0,0.05704719587689342
100,0.06920808291057805
200,0.08236595869285879
300,0.09507278878156716
400,0.10743061967401342
500,0.11943648281662173
600,0.1312088936710728
700,0.14259275806145225
800,0.15376455260444563
900,0.16458604772883928
1000,0.1752082311101918
1100,0.18551440651622533
1200,0.1955174716542297
1300,0.20530837331094015
1400,0.21486497502234958
1500,0.22423188057824378
1600,0.23335665406175912
1700,0.24226487247652265
1800,0.25095944573692514
1900,0.25948095149807854
2000,0.2677805813866545
2100,0.2759022098321866
2200,0.2838682984867265
2300,0.29166461464358157
2400,0.2992798868815007
2500,0.3067040887095547
2600,0.3140083414834508
2700,0.32114167625944146
2800,0.32812903062166826
2900,0.3349743737024822
3000,0.34169161581460206
3100,0.3482353352404674
3200,0.3546911190881363
3300,0.3610210072749074
3400,0.3672291046620482
3500,0.3733242885003875
3600,0.37930306334014363
3700,0.3851455733444817
3800,0.3908680563438251
3900,0.3964918565997732
4000,0.40200548581723294
4100,0.40745780991685626
4200,0.4127914767570364
4300,0.4180155812526982
4400,0.4231601199235529
4500,0.4282051076861004
4600,0.433144538356829
4700,0.43802065097973286
4800,0.4428066305747039
4900,0.44753590610123495
5000,0.45216711044795554
5100,0.4567274889031244
5200,0.46121831787801704
5300,0.46562670290365166
5400,0.4699560471778541
5500,0.4742081343417136
5600,0.4784304295681581
5700,0.4825655905521726
5800,0.48661390530069976
5900,0.4906415273656551
6000,0.4945912771815752
6100,0.4984820498911927
6200,0.5023174961502839
6300,0.5060928683880861
6400,0.5097976147265662
6500,0.5134506516307663
6600,0.5170508182441108
6700,0.5206199023131957
6800,0.5241229183976259
6900,0.5275566707583916
7000,0.5309676713543406
7100,0.534311613597431
7200,0.5376009423928284
7300,0.540861217805914
7400,0.5440716231726389
7500,0.5472235408999983
7600,0.5503302002847074
7700,0.5534048054343399
7800,0.5564213891203734
7900,0.5594136588398303
8000,0.5623655908430543
8100,0.5652891627343695
8200,0.5681614586482424
8300,0.5709952469953278
8400,0.5737897395300752
8500,0.5765684592594217
8600,0.579299737593238
8700,0.5819978169198075
8800,0.5846620136229456
8900,0.5872839621680448
9000,0.5898701358601469
9100,0.5924361700867147
9200,0.5949839488879347
9300,0.5974859889202786
9400,0.5999440838573171
9500,0.602379819702998
9600,0.6047888385839456
9700,0.6071631077156655
9800,0.6095084979990562
9900,0.6118285682844267
