iteration,gini coefficient
0,0.7949571309466762
100,0.7946530970641833
200,0.7943782261379393
300,0.7940698080128922
400,0.7936494456135529
500,0.793387464557749
600,0.7931491751635602
700,0.7927875519191234
800,0.7925170229019438
900,0.7921536302899815
1000,0.791876012585825
1100,0.7914378240939246
1200,0.7910498189230775
1300,0.7906320690578377
1400,0.7903118311827558
1500,0.7899043582023633
1600,0.7894776115154174
1700,0.7892019027507503
1800,0.7887709976284324
1900,0.788262125368845
2000,0.7878250138273569
2100,0.7874275273662252
2200,0.7870428101307705
2300,0.7866648378650642
2400,0.7863179260103609
2500,0.7858761698715925
2600,0.7853432585828932
2700,0.7849358228339732
2800,0.7844717695098519
2900,0.7840671715489621
3000,0.7835844548602017
3100,0.7831567562478076
3200,0.7827350238570966
3300,0.7821434792032071
3400,0.7817203358918978
3500,0.7814734223332984
3600,0.7810285813016661
3700,0.7806247284042752
3800,0.780156093911323
3900,0.7796820691598583
4000,0.7792354033169582
4100,0.7788784148059762
4200,0.7785508220969553
4300,0.7781539562631158
4400,0.777697709944153
4500,0.7773150483196779
4600,0.7768508473031938
4700,0.7764725523624257
4800,0.7760136972429383
4900,0.7754042488124936
5000,0.7749799314261464
5100,0.7745913492023816
5200,0.7742444867937287
5300,0.7737655180547075
5400,0.7734358359874107
5500,0.7731037395541493
5600,0.7728201740174004
5700,0.7723824446575956
5800,0.7720492748357703
5900,0.7716754670684361
6000,0.7712650082200462
6100,0.7709019975682447
6200,0.7704673559677746
6300,0.7700266035993428
6400,0.7696140183807619
6500,0.769224961562444
6600,0.7688651487784235
6700,0.768452452689746
6800,0.7680791029747441
6900,0.7678150926341029
7000,0.7673550206416487
7100,0.7669545054262642
7200,0.7665785037880358
7300,0.7661789126023008
7400,0.7657670140035013
7500,0.7653507675955302
7600,0.7649323648036517
7700,0.7645446466320848
7800,0.7641492197567309
7900,0.7637241189754959
8000,0.763322065470807
8100,0.7628342729815463
8200,0.7625257885721123
8300,0.7621824234533144
8400,0.7619148757170814
8500,0.7616478935067557
8600,0.761395535920266
8700,0.76104309206223
8800,0.7607937776781837
8900,0.7603668965587468
9000,0.7600364198107404
9100,0.7597319164155777
9200,0.7594082542446836
9300,0.7590110133875523
9400,0.7586262662715386
9500,0.7582844615019058
9600,0.7579467616805784
9700,0.7576297275083411
9800,0.7572855380774752
9900,0.7569231633882683
10000,0.7566339295640121
