iteration,gini coefficient
0,0.05659376131944662
100,0.05730348922933918
200,0.057435113448419214
300,0.0575450494278277
400,0.05764832465807372
500,0.05768185670521474
600,0.05766444553970004
700,0.05775922863616221
800,0.0578141950100105
900,0.0578690716780569
1000,0.057912006902418045
1100,0.05797127862568488
1200,0.05799224322742116
1300,0.058012405248244435
1400,0.058129646002986896
1500,0.05810007257884418
1600,0.05807781633436736
1700,0.05816436975648635
1800,0.058205591173947246
1900,0.05825331085386331
2000,0.05827632306220597
2100,0.05825241287566846
2200,0.05830667628649205
2300,0.05830602716476577
2400,0.058309182233851425
2500,0.05834633796426697
2600,0.05850950956163585
2700,0.058509352578053585
2800,0.05851153321384267
2900,0.05855664027103253
3000,0.058603950252823216
3100,0.058621709621827396
3200,0.0586479301268014
3300,0.05875193875517831
3400,0.05878292641660253
3500,0.058842603264324334
3600,0.05889205726256809
3700,0.058918226271328034
3800,0.05900836901930012
3900,0.05907118901631762
4000,0.059081029492606525
4100,0.05915915494258485
4200,0.059264684840716425
4300,0.059275006456590916
4400,0.059323428888204306
4500,0.05929046405403258
4600,0.05925813896480226
4700,0.05933987968718215
4800,0.05936596223432158
4900,0.05943022864756264
5000,0.059456567197264484
5100,0.059485793823053926
5200,0.05949577343069332
5300,0.05951623069628385
5400,0.05952863552767621
5500,0.059578031333418977
5600,0.05970176968922222
5700,0.05979230496940881
5800,0.0598519040744315
5900,0.05988420935528695
6000,0.05993484397875659
6100,0.060061597091456816
6200,0.060135454080659505
6300,0.06013888241149193
6400,0.060105816028518486
6500,0.06004501350888262
6600,0.060059225138315936
6700,0.06007354824019766
6800,0.06010538504029674
6900,0.06012291200311
7000,0.060203254780547395
7100,0.060268076844538575
7200,0.0602875623638147
7300,0.06032120312874515
7400,0.060301029931403065
7500,0.06030044224296604
7600,0.0602883668809802
7700,0.06036586694216539
7800,0.06035450589963776
7900,0.06039439514885885
8000,0.060367992668992614
8100,0.060443797073359146
8200,0.06048512144491051
8300,0.060547103624475455
8400,0.060550188273583626
8500,0.060599857218921756
8600,0.06063026269192839
8700,0.06066729406350573
8800,0.06071339671255111
8900,0.060713709055457844
9000,0.060775603171482194
9100,0.06080551808453866
9200,0.06080720924117258
9300,0.06084943011376026
9400,0.060861991803126715
9500,0.06081732600509565
9600,0.06084809365476744
9700,0.06082129696985294
9800,0.060766422368714296
9900,0.06075344233390162
10000,0.06077437616249837
