iteration,gini coefficient
0,0.05662065163525673
10,0.05671691897413788
20,0.05682822107585269
30,0.05688406133020234
40,0.056946496003593
50,0.057057864181127405
60,0.05714270013885705
70,0.05719641790868279
80,0.05728757370843008
90,0.05740487162976827
100,0.05746860192343768
110,0.05759275559742487
120,0.05766340062425499
130,0.05770917006327957
140,0.05782466664539798
150,0.057884484177416796
160,0.057988202055813495
170,0.058072863302443774
180,0.05811561684502007
190,0.058231456236502374
200,0.058329565216423435
210,0.058383995876260676
220,0.05849542655325518
230,0.05859430431766236
240,0.05861779627067207
250,0.058731232475561994
260,0.05881708511568573
270,0.05890705635532869
280,0.05904199381309959
290,0.059118106166334075
300,0.059183538828076705
310,0.05929784554981863
320,0.05938994561017374
330,0.05951572487744282
340,0.059670549348423974
350,0.05975639546202257
360,0.05986915215700612
370,0.059976059471631545
380,0.06006555929828523
390,0.06015599769773773
400,0.06025001472150519
410,0.06033744485011501
420,0.060459580024224996
430,0.06055060537101405
440,0.060668787436726324
450,0.060791459381805774
460,0.06089389308369513
470,0.060998634154689355
480,0.06110005888096864
490,0.06117992155143978
500,0.0612811473194041
510,0.06135563820991918
520,0.06144783469255886
530,0.06154239887126174
540,0.06168263239942786
550,0.06173695779496926
560,0.061834105375436654
570,0.06191686594977044
580,0.06201036064969206
590,0.06207180670857263
600,0.062174448485582436
610,0.06230108121780598
620,0.062347006209915894
630,0.06241289838934489
640,0.062470164099676415
650,0.06254826828611257
660,0.06262628729233935
670,0.0627275610535775
680,0.06280663485737685
690,0.06282075232688185
700,0.06289862156275967
710,0.06299174260775182
720,0.06312570837479078
730,0.0631896211784707
740,0.0632915605265455
750,0.06335445986779815
760,0.06349451630102465
770,0.06354227864831569
780,0.06361719707713923
790,0.06370384541899278
800,0.06384505683264022
810,0.06392818512244228
820,0.0639731139342774
830,0.06406348875506436
840,0.0641365604265157
850,0.0642172113021873
860,0.06430390900185118
870,0.06442884480481226
880,0.06449432445079072
890,0.06463646932487568
900,0.0647158194332348
910,0.06477862451999947
920,0.06487915605564509
930,0.06499614038559513
940,0.0650173057697905
950,0.06510943374594359
960,0.06517342983823061
970,0.0652845878479103
980,0.0653665992879225
990,0.06546172749845833
1000,0.0655004243297482
