iteration,gini coefficient
0,0.056367907940700554
100,0.05664406495269123
200,0.05686932897860233
300,0.05722348902924825
400,0.057413268227516565
500,0.05763414744289152
600,0.05781680704812504
700,0.057995637876081446
800,0.05827153857423258
900,0.058397159986071936
1000,0.05863862158386211
1100,0.05888777203782811
1200,0.05911338825595696
1300,0.05936026873881203
1400,0.05953860212235834
1500,0.05966731766719852
1600,0.059899531824488095
1700,0.0600296621793314
1800,0.06017897764265686
1900,0.060469645872052113
2000,0.06053944417999589
2100,0.06070245565403135
2200,0.06089371350824336
2300,0.06107057902991397
2400,0.061363708198890844
2500,0.06148004336755533
2600,0.06168078313535209
2700,0.06179156269346441
2800,0.06199535480454279
2900,0.06211534914609858
3000,0.062312151173170814
3100,0.06252964873733113
3200,0.06278599347372348
3300,0.06290021818930992
3400,0.063156981054351
3500,0.06334141410081227
3600,0.06348687919449457
3700,0.06369375308735929
3800,0.06390870261903189
3900,0.06405578357794577
4000,0.06423109735007816
4100,0.06436026868301736
4200,0.0644651222819878
4300,0.06459278811881393
4400,0.06477036132492385
4500,0.06487901930190859
4600,0.06507763301537452
4700,0.06518350538155816
4800,0.06534053952908003
4900,0.06557131287153445
5000,0.0657288979390682
5100,0.06596698122057473
5200,0.06615181584414367
5300,0.06631104350557253
5400,0.06646995802478997
5500,0.06668152214327533
5600,0.06688014608139013
5700,0.06704956479952547
5800,0.067190228675277
5900,0.06743732268715409
6000,0.0676351228624532
6100,0.06786634000977819
6200,0.06794168357994798
6300,0.06807753362301343
6400,0.06815751548075612
6500,0.06833472076316005
6600,0.06846460919703609
6700,0.0686401462706279
6800,0.06883982375130453
6900,0.06902227325972395
7000,0.06917422769758585
7100,0.06930249796190964
7200,0.06941434237369536
7300,0.06958534538112184
7400,0.06971248939637655
7500,0.06979778124856131
7600,0.06997951947044069
7700,0.07004320281112489
7800,0.07014386951857239
7900,0.07027581180239612
8000,0.07038449458277347
8100,0.07051307343211857
8200,0.07065783746617628
8300,0.07080495829251565
8400,0.07095693620339273
8500,0.0711563280948926
8600,0.07128562896815197
8700,0.07139719666470164
8800,0.07161022806233266
8900,0.07177092167499673
9000,0.07196173198848728
9100,0.07213812385353029
9200,0.07226177303471781
9300,0.07243835569032071
9400,0.07260400105949605
9500,0.07275542468361089
9600,0.07287688585694102
9700,0.07293585111221672
9800,0.0730299765485517
9900,0.07315160467607135
10000,0.07321632111564205
