iteration,gini coefficient
0,0.7940561166606936
100,0.7915541933850203
200,0.7895670884040945
300,0.7876113641899974
400,0.785590765679943
500,0.7836737557971474
600,0.7816790197826193
700,0.7797318350863383
800,0.7777744721655326
900,0.7758767250730146
1000,0.7739380662703434
1100,0.7719939225644323
1200,0.7700933377700114
1300,0.768163511108114
1400,0.7662744681537034
1500,0.7643876521594518
1600,0.7624734938297258
1700,0.7606365617679773
1800,0.7587676946557114
1900,0.7569526282381124
2000,0.7550919288810104
2100,0.7532189496716781
2200,0.751370538577037
2300,0.7495252761975485
2400,0.7477057852182676
2500,0.7458959091049747
2600,0.7441457386591576
2700,0.742352665067377
2800,0.7405267294235583
2900,0.7387699183281781
3000,0.7370164513874097
3100,0.7352074261740166
3200,0.7334538442336477
3300,0.7317355529566945
3400,0.7300225261086148
3500,0.7283256472405586
3600,0.7266509378277526
3700,0.7249189271776841
3800,0.7232076355414951
3900,0.7214781029203214
4000,0.7197922691826353
4100,0.7181275122608703
4200,0.7164430948351557
4300,0.7148007167436111
4400,0.713162551184794
4500,0.7115230447336512
4600,0.7099418295198366
4700,0.7083595398960065
4800,0.7067504568158126
4900,0.7051484124677235
5000,0.7036120082768165
5100,0.701952289683195
5200,0.7004250681546461
5300,0.6988678892705381
5400,0.6972956293516287
5500,0.6957636264681922
5600,0.6941981222143928
5700,0.6927007068197905
5800,0.6911987662313367
5900,0.6896573350749551
6000,0.6881253597210024
6100,0.6866121315039134
6200,0.6850499693464859
6300,0.683564488423463
6400,0.6820696056640211
6500,0.6805458827249097
6600,0.6790601345362474
6700,0.67758286891954
6800,0.6761312156455079
6900,0.6746960668623407
7000,0.673245180887957
7100,0.6717704728064923
7200,0.6702850547338244
7300,0.668910909694088
7400,0.6674750198926546
7500,0.666093604211238
7600,0.6646176203445542
7700,0.6632022509051814
7800,0.6617966089161911
7900,0.660384975047222
8000,0.658958698230295
8100,0.6575869270241954
8200,0.6561779746883494
8300,0.6548219669210867
8400,0.6534603439915679
8500,0.6520529777327878
8600,0.6507269104154262
8700,0.649372759330126
8800,0.6479848675161375
8900,0.6466393370397358
9000,0.6452695861710115
9100,0.6439592355410603
9200,0.64262820892742
9300,0.6413305052763432
9400,0.6400630348895302
9500,0.6387859176766716
9600,0.6374627652336182
9700,0.6361383365671539
9800,0.6348336837971105
9900,0.6335277968819822
10000,0.6323376250526951
